행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_0~9세,2023년01월_계_10~19세,2023년01월_계_20~29세,2023년01월_계_30~39세,2023년01월_계_40~49세,2023년01월_계_50~59세,2023년01월_계_60~69세,2023년01월_계_70~79세,2023년01월_계_80~89세,2023년01월_계_90~99세,2023년01월_계_100세 이상,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_0~9세,2023년01월_남_10~19세,2023년01월_남_20~29세,2023년01월_남_30~39세,2023년01월_남_40~49세,2023년01월_남_50~59세,2023년01월_남_60~69세,2023년01월_남_70~79세,2023년01월_남_80~89세,2023년01월_남_90~99세,2023년01월_남_100세 이상,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_0~9세,2023년01월_여_10~19세,2023년01월_여_20~29세,2023년01월_여_30~39세,2023년01월_여_40~49세,2023년01월_여_50~59세,2023년01월_여_60~69세,2023년01월_여_70~79세,2023년01월_여_80~89세,2023년01월_여_90~99세,2023년01월_여_100세 이상
서울특별시 성동구 행당제1동(1120056000),"13,683","13,683",908,973,"2,123","2,219","2,081","2,162","1,740",941,458,72,6,"6,573","6,573",469,460,999,"1,093","1,014","1,030",869,437,176,25,1,"7,110","7,110",439,513,"1,124","1,126","1,067","1,132",871,504,282,47,5
서울특별시 성동구 행당제2동(1120057000),"22,999","22,999","1,634","1,923","2,680","3,421","3,675","3,958","2,999","1,760",848,98,3,"10,730","10,730",800,873,"1,280","1,593","1,755","1,933","1,404",758,310,24,0,"12,269","12,269",834,"1,050","1,400","1,828","1,920","2,025","1,595","1,002",538,74,3
서울특별시 성동구 응봉동(1120058000),"15,027","15,027","1,031","1,542","1,722","2,029","2,711","2,460","1,779","1,108",580,63,2,"7,145","7,145",547,778,824,980,"1,284","1,191",820,472,230,19,0,"7,882","7,882",484,764,898,"1,049","1,427","1,269",959,636,350,44,2
서울특별시 성동구 금호1가동(1120059000),"15,024","15,024","1,156","1,078","1,600","2,345","2,559","2,321","2,178","1,140",574,71,2,"7,175","7,175",606,548,797,"1,091","1,298","1,112",992,510,205,16,0,"7,849","7,849",550,530,803,"1,254","1,261","1,209","1,186",630,369,55,2
서울특별시 성동구 금호2.3가동(1120061500),"22,228","22,228","1,630","1,300","2,581","3,867","3,604","3,544","3,076","1,663",846,109,8,"10,618","10,618",852,644,"1,310","1,870","1,776","1,702","1,424",703,305,29,3,"11,610","11,610",778,656,"1,271","1,997","1,828","1,842","1,652",960,541,80,5
서울특별시 성동구 금호4가동(1120062000),"14,155","14,155","1,238",942,"1,371","2,339","2,580","2,120","1,915","1,077",512,57,4,"6,701","6,701",644,475,688,"1,055","1,291","1,049",862,444,179,13,1,"7,454","7,454",594,467,683,"1,284","1,289","1,071","1,053",633,333,44,3
서울특별시 성동구 옥수동(1120064500),"25,582","25,582","2,357","1,641","2,526","4,517","4,484","3,837","3,431","1,786",875,125,3,"11,867","11,867","1,168",808,"1,179","2,018","2,209","1,779","1,545",786,336,37,2,"13,715","13,715","1,189",833,"1,347","2,499","2,275","2,058","1,886","1,000",539,88,1
서울특별시 성동구 성수1가제1동(1120065000),"16,047","16,047",938,992,"2,323","2,865","2,196","2,893","2,416",942,430,49,3,"7,962","7,962",490,520,"1,175","1,416","1,088","1,411","1,233",450,165,12,2,"8,085","8,085",448,472,"1,148","1,449","1,108","1,482","1,183",492,265,37,1
서울특별시 성동구 성수1가제2동(1120066000),"12,128","12,128",639,796,"1,767","2,310","1,831","1,857","1,666",837,389,36,0,"5,929","5,929",322,408,840,"1,156",885,938,816,391,164,9,0,"6,199","6,199",317,388,927,"1,154",946,919,850,446,225,27,0
서울특별시 성동구 성수2가제1동(1120067000),"15,189","15,189",670,781,"1,956","2,492","1,990","2,704","2,805","1,186",550,53,2,"7,923","7,923",354,386,"1,015","1,351","1,091","1,426","1,501",558,226,15,0,"7,266","7,266",316,395,941,"1,141",899,"1,278","1,304",628,324,38,2
서울특별시 성동구 성수2가제3동(1120069000),"10,288","10,288",505,483,"1,779","1,818","1,388","1,639","1,471",786,377,40,2,"5,111","5,111",270,241,823,892,728,840,778,377,151,10,1,"5,177","5,177",235,242,956,926,660,799,693,409,226,30,1
서울특별시 성동구 송정동(1120072000),"10,037","10,037",429,510,"1,568","1,526","1,392","1,790","1,683",781,319,38,1,"5,311","5,311",234,282,796,854,772,969,898,367,129,10,0,"4,726","4,726",195,228,772,672,620,821,785,414,190,28,1
서울특별시 성동구 용답동(1120079000),"11,665","11,665",290,556,"2,505","1,830","1,447","1,944","1,611",952,481,47,2,"6,015","6,015",152,279,"1,091",970,826,"1,145",892,439,209,11,1,"5,650","5,650",138,277,"1,414",860,621,799,719,513,272,36,1
서울특별시 광진구 (1121500000),"337,258","337,258","16,299","24,471","60,025","54,683","49,127","53,249","44,848","22,772","10,441","1,301",42,"162,460","162,460","8,397","12,345","28,015","27,232","24,107","25,924","21,437","10,406","4,229",356,12,"174,798","174,798","7,902","12,126","32,010","27,451","25,020","27,325","23,411","12,366","6,212",945,30
서울특별시 광진구 화양동(1121571000),"23,431","23,431",330,705,"10,383","4,662","2,105","2,019","1,694",992,475,65,1,"11,149","11,149",164,300,"4,461","2,458","1,166","1,102",828,436,216,18,0,"12,282","12,282",166,405,"5,922","2,204",939,917,866,556,259,47,1
