행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_0~9세,2023년01월_계_10~19세,2023년01월_계_20~29세,2023년01월_계_30~39세,2023년01월_계_40~49세,2023년01월_계_50~59세,2023년01월_계_60~69세,2023년01월_계_70~79세,2023년01월_계_80~89세,2023년01월_계_90~99세,2023년01월_계_100세 이상,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_0~9세,2023년01월_남_10~19세,2023년01월_남_20~29세,2023년01월_남_30~39세,2023년01월_남_40~49세,2023년01월_남_50~59세,2023년01월_남_60~69세,2023년01월_남_70~79세,2023년01월_남_80~89세,2023년01월_남_90~99세,2023년01월_남_100세 이상,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_0~9세,2023년01월_여_10~19세,2023년01월_여_20~29세,2023년01월_여_30~39세,2023년01월_여_40~49세,2023년01월_여_50~59세,2023년01월_여_60~69세,2023년01월_여_70~79세,2023년01월_여_80~89세,2023년01월_여_90~99세,2023년01월_여_100세 이상
서울특별시 강남구 논현2동(1168053100),"20,495","20,495",947,"1,217","3,166","4,143","3,680","3,004","2,212","1,475",566,83,2,"9,577","9,577",489,618,"1,415","1,916","1,740","1,450",987,674,264,24,0,"10,918","10,918",458,599,"1,751","2,227","1,940","1,554","1,225",801,302,59,2
서울특별시 강남구 압구정동(1168054500),"25,763","25,763","1,840","2,724","2,814","2,874","4,296","4,307","3,146","2,468","1,116",169,9,"11,906","11,906",898,"1,313","1,302","1,255","1,907","2,094","1,429","1,120",523,65,0,"13,857","13,857",942,"1,411","1,512","1,619","2,389","2,213","1,717","1,348",593,104,9
서울특별시 강남구 청담동(1168056500),"25,238","25,238","1,814","2,253","3,339","3,810","4,560","3,998","2,973","1,720",655,111,5,"11,795","11,795","1,019","1,182","1,506","1,625","2,059","1,894","1,383",794,304,28,1,"13,443","13,443",795,"1,071","1,833","2,185","2,501","2,104","1,590",926,351,83,4
서울특별시 강남구 삼성1동(1168058000),"12,486","12,486",714,"1,189","1,615","1,750","2,008","2,106","1,671",998,380,52,3,"6,119","6,119",369,669,863,842,928,"1,004",771,475,182,15,1,"6,367","6,367",345,520,752,908,"1,080","1,102",900,523,198,37,2
서울특별시 강남구 삼성2동(1168059000),"30,825","30,825","2,114","3,661","3,800","4,763","6,290","4,887","2,652","1,843",719,91,5,"14,812","14,812","1,109","2,023","1,829","2,111","2,821","2,483","1,250",807,354,25,0,"16,013","16,013","1,005","1,638","1,971","2,652","3,469","2,404","1,402","1,036",365,66,5
서울특별시 강남구 대치1동(1168060000),"23,857","23,857","1,547","5,336","2,320","1,360","5,280","4,169","2,129","1,231",417,67,1,"11,965","11,965",821,"3,005","1,193",555,"2,237","2,289","1,003",629,215,18,0,"11,892","11,892",726,"2,331","1,127",805,"3,043","1,880","1,126",602,202,49,1
서울특별시 강남구 대치2동(1168061000),"36,904","36,904","2,022","6,273","4,197","3,254","6,859","6,516","4,511","2,477",677,116,2,"18,659","18,659","1,082","3,729","2,251","1,495","2,920","3,369","2,211","1,236",339,27,0,"18,245","18,245",940,"2,544","1,946","1,759","3,939","3,147","2,300","1,241",338,89,2
서울특별시 강남구 대치4동(1168063000),"19,110","19,110",618,"2,319","3,113","3,083","3,695","3,304","1,569",992,373,43,1,"9,100","9,100",317,"1,262","1,506","1,459","1,578","1,648",708,427,185,10,0,"10,010","10,010",301,"1,057","1,607","1,624","2,117","1,656",861,565,188,33,1
서울특별시 강남구 역삼1동(1168064000),"34,461","34,461",865,"1,363","7,031","9,655","6,068","4,151","2,958","1,599",688,81,2,"16,779","16,779",432,692,"3,031","4,792","3,090","2,208","1,455",718,346,15,0,"17,682","17,682",433,671,"4,000","4,863","2,978","1,943","1,503",881,342,66,2
서울특별시 강남구 역삼2동(1168065000),"36,967","36,967","2,380","5,811","4,475","4,666","8,604","5,748","2,661","1,857",687,76,2,"17,300","17,300","1,168","2,704","1,913","2,142","3,827","3,137","1,240",816,335,18,0,"19,667","19,667","1,212","3,107","2,562","2,524","4,777","2,611","1,421","1,041",352,58,2
서울특별시 강남구 도곡1동(1168065500),"20,889","20,889","1,523","2,427","2,547","2,876","3,701","3,372","2,550","1,306",509,76,2,"9,897","9,897",743,"1,110","1,215","1,308","1,721","1,698","1,216",642,219,25,0,"10,992","10,992",780,"1,317","1,332","1,568","1,980","1,674","1,334",664,290,51,2
서울특별시 강남구 도곡2동(1168065600),"32,742","32,742","2,467","4,822","3,642","3,064","6,121","5,605","3,643","2,335",897,143,3,"15,193","15,193","1,236","2,165","1,654","1,264","2,678","2,808","1,728","1,154",463,42,1,"17,549","17,549","1,231","2,657","1,988","1,800","3,443","2,797","1,915","1,181",434,101,2
서울특별시 강남구 개포1동(1168066000),"6,901","6,901",425,700,698,681,"1,035","1,085","1,188",769,275,43,2,"3,329","3,329",215,336,346,302,493,542,568,385,132,10,0,"3,572","3,572",210,364,352,379,542,543,620,384,143,33,2
서울특별시 강남구 개포2동(1168067000),"29,259","29,259","2,391","3,760","3,532","3,576","5,115","5,018","3,512","1,793",470,90,2,"14,195","14,195","1,257","1,888","1,775","1,628","2,311","2,509","1,688",904,218,16,1,"15,064","15,064","1,134","1,872","1,757","1,948","2,804","2,509","1,824",889,252,74,1
서울특별시 강남구 개포3동(1168067500),"17,309","17,309","1,119","1,723","1,677","2,421","2,997","2,552","2,516","1,665",554,82,3,"8,367","8,367",572,"1,094",908,"1,174","1,421","1,238","1,061",692,187,19,1,"8,942","8,942",547,629,769,"1,247","1,576","1,314","1,455",973,367,63,2
서울특별시 강남구 개포4동(1168069000),"23,444","23,444","1,588","2,231","3,058","3,559","3,868","3,942","3,142","1,474",495,84,3,"11,290","11,290",826,"1,072","1,524","1,708","1,824","1,915","1,482",698,220,21,0,"12,154","12,154",762,"1,159","1,534","1,851","2,044","2,027","1,660",776,275,63,3
서울특별시 강남구 세곡동(1168070000),"43,160","43,160","3,306","5,010","5,027","5,981","7,814","6,207","5,300","2,869","1,367",269,10,"20,325","20,325","1,679","2,487","2,309","2,760","3,741","3,053","2,353","1,373",502,64,4,"22,835","22,835","1,627","2,523","2,718","3,221","4,073","3,154","2,947","1,496",865,205,6
서울특별시 강남구 일원본동(1168072000),"22,955","22,955","1,814","3,320","2,285","2,596","4,324","3,706","3,002","1,349",429,124,6,"11,364","11,364","1,008","1,952","1,204","1,218","1,946","1,792","1,384",668,165,27,0,"11,591","11,591",806,"1,368","1,081","1,378","2,378","1,914","1,618",681,264,97,6
서울특별시 강남구 일원1동(1168073000),"14,839","14,839",636,"1,047","1,999","2,201","2,036","2,241","2,547","1,443",573,110,6,"7,200","7,200",323,604,986,"1,131","1,059","1,066","1,139",670,200,20,2,"7,639","7,639",313,443,"1,013","1,070",977,"1,175","1,408",773,373,90,4
서울특별시 강남구 수서동(1168075000),"14,321","14,321",569,510,"1,211","1,976","1,648","1,918","3,305","2,218",806,151,9,"6,464","6,464",281,248,657,963,849,872,"1,386",899,271,36,2,"7,857","7,857",288,262,554,"1,013",799,"1,046","1,919","1,319",535,115,7
서울특별시 송파구 (1171000000),"658,604","658,604","45,780","58,364","87,230","105,174","107,593","101,764","89,169","44,408","16,441","2,592",89,"317,063","317,063","23,661","29,781","41,295","50,179","52,124","49,227","41,785","21,517","6,869",612,13,"341,541","341,541","22,119","28,583","45,935","54,995","55,469","52,537","47,384","22,891","9,572","1,980",76
서울특별시 송파구 풍납1동(1171051000),"12,326","12,326",562,760,"1,404","1,717","1,703","2,075","2,374","1,175",500,54,2,"6,041","6,041",316,404,730,887,861,998,"1,081",542,203,18,1,"6,285","6,285",246,356,674,830,842,"1,077","1,293",633,297,36,1
서울특별시 송파구 풍납2동(1171052000),"24,192","24,192","1,696","1,925","3,540","3,786","3,880","3,569","3,305","1,740",656,92,3,"11,460","11,460",870,962,"1,532","1,797","1,888","1,737","1,550",834,276,13,1,"12,732","12,732",826,963,"2,008","1,989","1,992","1,832","1,755",906,380,79,2
서울특별시 송파구 거여1동(1171053100),"12,195","12,195",480,881,"1,692","1,681","1,666","2,193","2,018","1,077",444,60,3,"6,145","6,145",268,446,883,896,833,"1,116",982,524,183,13,1,"6,050","6,050",212,435,809,785,833,"1,077","1,036",553,261,47,2
서울특별시 송파구 거여2동(1171053200),"23,645","23,645","1,900","1,805","2,599","3,564","3,646","3,952","3,449","1,871",750,105,4,"11,538","11,538",975,949,"1,305","1,793","1,821","1,911","1,604",872,290,18,0,"12,107","12,107",925,856,"1,294","1,771","1,825","2,041","1,845",999,460,87,4
서울특별시 송파구 마천1동(1171054000),"18,455","18,455",753,"1,444","2,106","2,027","2,521","3,413","3,337","1,888",863,102,1,"9,462","9,462",399,766,"1,097","1,128","1,324","1,796","1,705",894,326,27,0,"8,993","8,993",354,678,"1,009",899,"1,197","1,617","1,632",994,537,75,1
서울특별시 송파구 마천2동(1171055000),"17,960","17,960",641,"1,165","2,134","2,025","2,439","3,329","3,531","1,802",798,94,2,"9,195","9,195",319,600,"1,178","1,160","1,285","1,712","1,772",826,326,17,0,"8,765","8,765",322,565,956,865,"1,154","1,617","1,759",976,472,77,2
서울특별시 송파구 방이1동(1171056100),"15,341","15,341",918,"1,535","2,192","2,175","2,391","2,628","2,095",950,382,70,5,"7,415","7,415",454,771,"1,117","1,093","1,105","1,222",995,477,161,20,0,"7,926","7,926",464,764,"1,075","1,082","1,286","1,406","1,100",473,221,50,5
서울특별시 송파구 방이2동(1171056200),"25,815","25,815","1,010","1,099","5,049","6,229","3,642","3,385","3,171","1,574",583,72,1,"11,846","11,846",553,597,"1,972","2,904","1,813","1,570","1,414",744,257,22,0,"13,969","13,969",457,502,"3,077","3,325","1,829","1,815","1,757",830,326,50,1
서울특별시 송파구 오륜동(1171056600),"17,759","17,759","1,075","2,546","2,006","1,561","3,050","3,071","2,640","1,346",368,94,2,"8,679","8,679",572,"1,378","1,071",671,"1,334","1,513","1,223",729,167,21,0,"9,080","9,080",503,"1,168",935,890,"1,716","1,558","1,417",617,201,73,2
서울특별시 송파구 오금동(1171057000),"37,771","37,771","2,469","2,976","4,890","5,257","5,435","6,576","6,015","2,803","1,106",230,14,"18,333","18,333","1,289","1,596","2,530","2,618","2,613","3,017","2,833","1,376",412,46,3,"19,438","19,438","1,180","1,380","2,360","2,639","2,822","3,559","3,182","1,427",694,184,11
서울특별시 송파구 송파1동(1171058000),"23,665","23,665","1,014","1,202","4,224","5,344","3,361","3,250","3,047","1,556",594,71,2,"11,048","11,048",516,559,"1,870","2,649","1,593","1,445","1,405",716,280,15,0,"12,617","12,617",498,643,"2,354","2,695","1,768","1,805","1,642",840,314,56,2
서울특별시 송파구 송파2동(1171059000),"18,815","18,815","1,356","1,787","2,434","2,692","2,987","3,015","2,735","1,304",421,83,1,"9,042","9,042",709,873,"1,129","1,279","1,452","1,455","1,272",681,175,16,1,"9,773","9,773",647,914,"1,305","1,413","1,535","1,560","1,463",623,246,67,0
서울특별시 송파구 석촌동(1171060000),"31,056","31,056","1,343","1,704","5,200","6,713","4,721","4,465","4,031","2,050",737,89,3,"14,761","14,761",670,872,"2,337","3,241","2,328","2,161","1,845",948,335,24,0,"16,295","16,295",673,832,"2,863","3,472","2,393","2,304","2,186","1,102",402,65,3
서울특별시 송파구 삼전동(1171061000),"29,493","29,493","1,179","1,856","4,854","6,323","4,779","4,219","3,723","1,805",658,93,4,"13,767","13,767",607,949,"2,146","3,017","2,314","1,986","1,652",841,240,15,0,"15,726","15,726",572,907,"2,708","3,306","2,465","2,233","2,071",964,418,78,4
서울특별시 송파구 가락본동(1171062000),"25,577","25,577","1,457","1,685","3,710","4,448","3,613","4,357","3,900","1,651",662,92,2,"12,688","12,688",754,857,"1,855","2,243","1,838","2,090","1,920",819,280,32,0,"12,889","12,889",703,828,"1,855","2,205","1,775","2,267","1,980",832,382,60,2
서울특별시 송파구 가락1동(1171063100),"27,456","27,456","3,020","2,548","2,817","4,733","4,709","3,813","3,663","1,689",394,68,2,"13,306","13,306","1,596","1,258","1,406","2,181","2,319","1,771","1,721",869,172,13,0,"14,150","14,150","1,424","1,290","1,411","2,552","2,390","2,042","1,942",820,222,55,2
서울특별시 송파구 가락2동(1171063200),"31,533","31,533","2,155","3,329","4,155","4,595","5,202","5,115","4,338","1,819",703,116,6,"15,411","15,411","1,109","1,780","2,034","2,223","2,528","2,481","2,021",914,290,30,1,"16,122","16,122","1,046","1,549","2,121","2,372","2,674","2,634","2,317",905,413,86,5
서울특별시 송파구 문정1동(1171064100),"19,755","19,755","1,149","1,425","2,888","3,346","2,795","3,161","3,150","1,311",450,76,4,"9,745","9,745",604,732,"1,442","1,704","1,393","1,470","1,524",669,190,17,0,"10,010","10,010",545,693,"1,446","1,642","1,402","1,691","1,626",642,260,59,4
서울특별시 송파구 문정2동(1171064200),"28,674","28,674","1,486","1,451","4,720","7,238","4,465","3,487","3,205","1,771",719,128,4,"13,114","13,114",739,705,"1,847","3,217","2,132","1,682","1,494",918,330,48,2,"15,560","15,560",747,746,"2,873","4,021","2,333","1,805","1,711",853,389,80,2
서울특별시 송파구 장지동(1171064600),"28,927","28,927","2,106","2,449","3,700","4,464","4,520","4,687","4,187","1,921",742,145,6,"13,955","13,955","1,057","1,281","1,870","2,213","2,236","2,168","1,941",896,269,24,0,"14,972","14,972","1,049","1,168","1,830","2,251","2,284","2,519","2,246","1,025",473,121,6
서울특별시 송파구 위례동(1171064700),"44,466","44,466","6,722","5,994","4,232","6,955","9,161","5,699","3,598","1,460",522,118,5,"21,693","21,693","3,466","3,033","2,083","3,170","4,556","2,838","1,662",693,178,14,0,"22,773","22,773","3,256","2,961","2,149","3,785","4,605","2,861","1,936",767,344,104,5
서울특별시 송파구 잠실본동(1171065000),"27,855","27,855","1,071","1,596","4,931","6,086","4,274","4,037","3,517","1,676",590,73,4,"13,271","13,271",555,802,"2,164","3,009","2,109","1,962","1,626",783,239,21,1,"14,584","14,584",516,794,"2,767","3,077","2,165","2,075","1,891",893,351,52,3
서울특별시 송파구 잠실2동(1171067000),"34,757","34,757","3,389","5,841","3,303","3,219","8,079","5,479","2,957","1,813",603,73,1,"16,612","16,612","1,757","2,921","1,564","1,288","3,698","2,923","1,346",829,269,17,0,"18,145","18,145","1,632","2,920","1,739","1,931","4,381","2,556","1,611",984,334,56,1
서울특별시 송파구 잠실3동(1171068000),"34,018","34,018","2,705","4,082","3,610","3,631","6,086","5,399","4,732","2,829",812,130,2,"16,147","16,147","1,400","2,043","1,763","1,513","2,803","2,669","2,148","1,385",389,34,0,"17,871","17,871","1,305","2,039","1,847","2,118","3,283","2,730","2,584","1,444",423,96,2
서울특별시 송파구 잠실4동(1171069000),"21,160","21,160","2,333","2,649","1,856","2,455","4,425","3,123","2,510","1,290",444,74,1,"10,191","10,191","1,189","1,404",915,"1,011","2,104","1,555","1,172",635,193,13,0,"10,969","10,969","1,144","1,245",941,"1,444","2,321","1,568","1,338",655,251,61,1
서울특별시 송파구 잠실6동(1171071000),"16,523","16,523","1,271","1,701","1,825","1,990","2,790","2,617","2,465","1,259",502,101,2,"7,824","7,824",649,864,880,882,"1,286","1,205","1,177",621,220,39,1,"8,699","8,699",622,837,945,"1,108","1,504","1,412","1,288",638,282,62,1
서울특별시 송파구 잠실7동(1171072000),"9,415","9,415",520,929,"1,159",920,"1,253","1,650","1,476",978,438,89,3,"4,374","4,374",269,379,575,392,558,774,700,482,219,25,1,"5,041","5,041",251,550,584,528,695,876,776,496,219,64,2
서울특별시 강동구 (1174000000),"460,141","460,141","32,365","39,130","57,811","69,125","74,817","70,837","67,887","33,791","12,433","1,874",71,"225,281","225,281","16,801","20,653","28,047","34,202","37,292","34,868","31,802","16,162","5,040",398,16,"234,860","234,860","15,564","18,477","29,764","34,923","37,525","35,969","36,085","17,629","7,393","1,476",55
서울특별시 강동구 강일동(1174051500),"32,875","32,875","2,939","3,602","3,429","4,284","5,452","4,753","4,854","2,404",976,176,6,"15,800","15,800","1,568","1,849","1,745","2,030","2,667","2,275","2,106","1,149",364,47,0,"17,075","17,075","1,371","1,753","1,684","2,254","2,785","2,478","2,748","1,255",612,129,6
서울특별시 강동구 상일제1동(1174052500),"39,160","39,160","4,756","4,495","3,616","5,391","7,788","5,432","5,029","1,998",550,101,4,"19,266","19,266","2,430","2,326","1,822","2,452","3,889","2,662","2,403","1,045",218,18,1,"19,894","19,894","2,326","2,169","1,794","2,939","3,899","2,770","2,626",953,332,83,3
서울특별시 강동구 상일제2동(1174052600),"11,909","11,909","1,051","1,425","1,634","1,633","1,820","1,750","1,352",821,344,75,4,"5,551","5,551",523,739,725,759,869,848,579,367,124,16,2,"6,358","6,358",528,686,909,874,951,902,773,454,220,59,2
서울특별시 강동구 명일제1동(1174053000),"25,537","25,537","2,112","2,408","2,835","3,806","4,170","3,948","3,764","1,788",593,111,2,"12,440","12,440","1,061","1,297","1,448","1,881","1,983","1,920","1,733",866,236,14,1,"13,097","13,097","1,051","1,111","1,387","1,925","2,187","2,028","2,031",922,357,97,1
서울특별시 강동구 명일제2동(1174054000),"17,253","17,253",991,"2,411","2,172","1,887","3,001","2,673","2,529","1,168",332,85,4,"8,423","8,423",508,"1,318","1,051",898,"1,329","1,341","1,182",641,136,18,1,"8,830","8,830",483,"1,093","1,121",989,"1,672","1,332","1,347",527,196,67,3
서울특별시 강동구 고덕제1동(1174055000),"23,812","23,812","2,311","3,718","2,048","2,529","5,213","3,395","2,837","1,201",449,107,4,"12,099","12,099","1,229","2,107","1,119","1,170","2,524","1,782","1,376",591,176,25,0,"11,713","11,713","1,082","1,611",929,"1,359","2,689","1,613","1,461",610,273,82,4
서울특별시 강동구 고덕제2동(1174056000),"22,631","22,631","2,479","2,225","2,126","3,542","4,225","3,248","2,987","1,309",428,60,2,"11,417","11,417","1,309","1,181","1,097","1,692","2,187","1,629","1,444",680,182,15,1,"11,214","11,214","1,170","1,044","1,029","1,850","2,038","1,619","1,543",629,246,45,1
서울특별시 강동구 암사제1동(1174057000),"33,999","33,999","1,841","2,462","4,487","4,832","5,274","5,831","5,220","2,796","1,110",143,3,"16,834","16,834",919,"1,251","2,338","2,511","2,720","2,871","2,497","1,251",448,27,1,"17,165","17,165",922,"1,211","2,149","2,321","2,554","2,960","2,723","1,545",662,116,2
서울특별시 강동구 암사제2동(1174058000),"14,971","14,971","1,229","1,012","1,784","2,691","2,352","2,238","2,039","1,144",423,57,2,"7,246","7,246",642,519,853,"1,318","1,179","1,062",953,532,180,7,1,"7,725","7,725",587,493,931,"1,373","1,173","1,176","1,086",612,243,50,1
서울특별시 강동구 암사제3동(1174059000),"17,451","17,451","1,617","1,949","1,817","2,130","3,181","2,658","2,401","1,201",432,61,4,"8,530","8,530",841,"1,015",906,999,"1,542","1,299","1,118",603,191,14,2,"8,921","8,921",776,934,911,"1,131","1,639","1,359","1,283",598,241,47,2
서울특별시 강동구 천호제1동(1174060000),"26,431","26,431","1,241","1,608","3,443","3,903","3,839","4,393","4,597","2,379",901,123,4,"12,989","12,989",607,824,"1,729","2,094","1,974","2,140","2,167","1,063",370,21,0,"13,442","13,442",634,784,"1,714","1,809","1,865","2,253","2,430","1,316",531,102,4
서울특별시 강동구 천호제2동(1174061000),"33,251","33,251","1,570","1,701","4,769","6,196","4,815","5,155","5,131","2,715","1,073",122,4,"16,266","16,266",826,872,"2,170","3,137","2,496","2,563","2,487","1,258",431,26,0,"16,985","16,985",744,829,"2,599","3,059","2,319","2,592","2,644","1,457",642,96,4
서울특별시 강동구 천호제3동(1174062000),"26,243","26,243","1,213","1,128","4,347","4,957","3,574","3,919","4,061","2,080",845,112,7,"12,689","12,689",640,575,"1,838","2,405","1,850","2,005","2,015",997,342,21,1,"13,554","13,554",573,553,"2,509","2,552","1,724","1,914","2,046","1,083",503,91,6
서울특별시 강동구 성내제1동(1174064000),"19,676","19,676","1,387","1,648","2,574","3,059","3,272","2,981","2,708","1,458",518,70,1,"9,455","9,455",738,828,"1,252","1,459","1,599","1,418","1,241",674,229,17,0,"10,221","10,221",649,820,"1,322","1,600","1,673","1,563","1,467",784,289,53,1
서울특별시 강동구 성내제2동(1174065000),"22,990","22,990",907,"1,053","3,577","4,127","3,202","3,533","3,692","2,002",808,86,3,"11,303","11,303",477,533,"1,578","2,153","1,669","1,812","1,761",948,347,25,0,"11,687","11,687",430,520,"1,999","1,974","1,533","1,721","1,931","1,054",461,61,3
서울특별시 강동구 성내제3동(1174066000),"22,773","22,773","1,080","1,611","3,375","3,366","3,445","3,871","3,417","1,846",673,83,6,"11,143","11,143",576,939,"1,723","1,725","1,663","1,868","1,505",861,263,18,2,"11,630","11,630",504,672,"1,652","1,641","1,782","2,003","1,912",985,410,65,4
서울특별시 강동구 길동(1174068500),"44,955","44,955","2,124","2,741","6,561","7,216","6,630","7,112","7,377","3,681","1,311",193,9,"21,922","21,922","1,125","1,446","3,044","3,705","3,379","3,480","3,416","1,751",532,41,3,"23,033","23,033",999,"1,295","3,517","3,511","3,251","3,632","3,961","1,930",779,152,6
서울특별시 강동구 둔촌제1동(1174069000),64,64,2,4,8,11,12,12,8,6,1,0,0,35,35,1,2,5,6,6,7,5,2,1,0,0,29,29,1,2,3,5,6,5,3,4,0,0,0
서울특별시 강동구 둔촌제2동(1174070000),"24,160","24,160","1,515","1,929","3,209","3,565","3,552","3,935","3,884","1,794",666,109,2,"11,873","11,873",781,"1,032","1,604","1,808","1,767","1,886","1,814",883,270,28,0,"12,287","12,287",734,897,"1,605","1,757","1,785","2,049","2,070",911,396,81,2
부산광역시  (2600000000),"3,316,107","3,316,107","205,183","266,085","393,660","395,379","494,104","542,849","557,440","309,546","135,207","16,245",409,"1,618,749","1,618,749","105,245","136,755","202,990","203,066","249,204","265,089","262,746","139,755","50,304","3,523",72,"1,697,358","1,697,358","99,938","129,330","190,670","192,313","244,900","277,760","294,694","169,791","84,903","12,722",337
부산광역시 중구 (2611000000),"39,627","39,627",999,"1,782","5,655","4,396","4,762","6,490","7,852","5,002","2,356",323,10,"19,188","19,188",541,890,"2,666","2,320","2,593","3,367","3,730","2,157",841,83,0,"20,439","20,439",458,892,"2,989","2,076","2,169","3,123","4,122","2,845","1,515",240,10
부산광역시 중구 중앙동(2611051000),"3,123","3,123",36,56,915,709,368,370,357,202,89,19,2,"1,442","1,442",19,28,335,319,203,209,193,97,35,4,0,"1,681","1,681",17,28,580,390,165,161,164,105,54,15,2
부산광역시 중구 동광동(2611052000),"2,533","2,533",62,87,254,231,267,425,568,410,202,26,1,"1,289","1,289",31,34,141,135,156,230,283,195,78,6,0,"1,244","1,244",31,53,113,96,111,195,285,215,124,20,1
부산광역시 중구 대청동(2611053000),"6,070","6,070",152,320,867,620,782,973,"1,210",738,344,63,1,"2,840","2,840",81,152,407,323,405,478,565,296,122,11,0,"3,230","3,230",71,168,460,297,377,495,645,442,222,52,1
부산광역시 중구 보수동(2611054500),"10,376","10,376",316,497,"1,491","1,095","1,244","1,744","2,039","1,245",630,73,2,"4,979","4,979",164,251,707,564,672,890,957,526,226,22,0,"5,397","5,397",152,246,784,531,572,854,"1,082",719,404,51,2
부산광역시 중구 부평동(2611056000),"4,368","4,368",81,182,506,423,520,709,"1,007",632,262,44,2,"2,066","2,066",46,100,239,237,285,361,434,274,84,6,0,"2,302","2,302",35,82,267,186,235,348,573,358,178,38,2
부산광역시 중구 광복동(2611057000),934,934,25,40,82,75,106,167,235,126,65,12,1,479,479,15,19,50,38,58,92,123,52,26,6,0,455,455,10,21,32,37,48,75,112,74,39,6,1
부산광역시 중구 남포동(2611058000),851,851,8,23,44,57,88,168,264,143,50,6,0,497,497,6,10,25,34,59,111,157,77,14,4,0,354,354,2,13,19,23,29,57,107,66,36,2,0
부산광역시 중구 영주제1동(2611059000),"4,548","4,548",127,191,809,630,584,686,750,503,239,29,0,"2,296","2,296",65,100,400,355,335,366,366,225,74,10,0,"2,252","2,252",62,91,409,275,249,320,384,278,165,19,0
부산광역시 중구 영주제2동(2611060000),"6,824","6,824",192,386,687,556,803,"1,248","1,422","1,003",475,51,1,"3,300","3,300",114,196,362,315,420,630,652,415,182,14,0,"3,524","3,524",78,190,325,241,383,618,770,588,293,37,1
부산광역시 서구 (2614000000),"105,036","105,036","5,176","7,128","12,433","10,505","14,019","16,931","19,414","12,485","6,171",757,17,"50,701","50,701","2,745","3,615","6,035","5,406","7,185","8,644","9,193","5,460","2,250",162,6,"54,335","54,335","2,431","3,513","6,398","5,099","6,834","8,287","10,221","7,025","3,921",595,11
부산광역시 서구 동대신제1동(2614051000),"5,497","5,497",341,344,624,663,747,893,918,600,321,46,0,"2,696","2,696",179,183,303,359,403,456,429,266,109,9,0,"2,801","2,801",162,161,321,304,344,437,489,334,212,37,0
부산광역시 서구 동대신제2동(2614052000),"6,933","6,933",214,442,692,508,866,"1,187","1,401","1,002",559,62,0,"3,371","3,371",113,214,365,282,450,599,657,447,229,15,0,"3,562","3,562",101,228,327,226,416,588,744,555,330,47,0
부산광역시 서구 동대신제3동(2614053000),"7,504","7,504",377,512,"1,140",793,989,"1,096","1,281",828,429,55,4,"3,527","3,527",205,245,509,426,491,548,584,338,165,15,1,"3,977","3,977",172,267,631,367,498,548,697,490,264,40,3
부산광역시 서구 서대신제1동(2614054000),"14,852","14,852","1,197","1,233","1,690","1,928","2,395","2,187","2,070","1,365",692,95,0,"7,022","7,022",640,633,827,895,"1,163","1,052",960,569,258,25,0,"7,830","7,830",557,600,863,"1,033","1,232","1,135","1,110",796,434,70,0
부산광역시 서구 서대신제3동(2614056000),"7,630","7,630",463,782,824,734,"1,171","1,269","1,247",724,359,56,1,"3,473","3,473",233,377,368,363,529,590,562,324,114,13,0,"4,157","4,157",230,405,456,371,642,679,685,400,245,43,1
부산광역시 서구 서대신제4동(2614057000),"7,387","7,387",530,740,760,732,"1,129","1,213","1,224",668,338,52,1,"3,555","3,555",287,401,396,336,534,581,584,293,133,9,1,"3,832","3,832",243,339,364,396,595,632,640,375,205,43,0
부산광역시 서구 부민동(2614059000),"7,432","7,432",357,562,"1,472",862,976,"1,052","1,135",649,321,44,2,"3,528","3,528",190,283,647,434,487,535,533,296,115,8,0,"3,904","3,904",167,279,825,428,489,517,602,353,206,36,2
부산광역시 서구 아미동(2614061500),"6,167","6,167",75,237,682,424,644,"1,016","1,431","1,021",564,67,6,"3,104","3,104",35,128,343,253,373,596,719,453,186,14,4,"3,063","3,063",40,109,339,171,271,420,712,568,378,53,2
부산광역시 서구 초장동(2614063000),"4,053","4,053",87,154,351,288,492,669,920,674,383,35,0,"2,043","2,043",42,70,196,167,277,395,455,313,121,7,0,"2,010","2,010",45,84,155,121,215,274,465,361,262,28,0
부산광역시 서구 충무동(2614064000),"9,734","9,734",403,486,"1,377","1,051","1,207","1,604","1,820","1,199",531,55,1,"4,617","4,617",212,237,601,538,621,826,846,513,207,16,0,"5,117","5,117",191,249,776,513,586,778,974,686,324,39,1
부산광역시 서구 남부민제1동(2614065000),"4,687","4,687",126,145,383,397,494,833,"1,116",758,391,44,0,"2,395","2,395",61,79,197,229,296,473,556,345,150,9,0,"2,292","2,292",65,66,186,168,198,360,560,413,241,35,0
부산광역시 서구 남부민제2동(2614066000),"8,528","8,528",209,412,739,621,994,"1,480","1,958","1,423",625,65,2,"4,244","4,244",112,225,410,344,545,820,950,614,215,9,0,"4,284","4,284",97,187,329,277,449,660,"1,008",809,410,56,2
부산광역시 서구 암남동(2614068000),"14,632","14,632",797,"1,079","1,699","1,504","1,915","2,432","2,893","1,574",658,81,0,"7,126","7,126",436,540,873,780,"1,016","1,173","1,358",689,248,13,0,"7,506","7,506",361,539,826,724,899,"1,259","1,535",885,410,68,0
